Expanded Polystyrene (EPS)_thickness(m),mineral_wool_thickness(m),Polyurethane (PUR)_thickness(m),R(mÂ²K/W),Total_Cost
0.117,0.1,0.061,8.556,1820.5200000000002
0.117,0.1,0.067,8.778,1890.7200000000003
0.117,0.1,0.072,9.0,1949.2200000000003
0.117,0.1,0.078,9.222,2019.42
0.117,0.1,0.083,9.444,2077.92
0.117,0.1,0.089,9.667,2148.12
0.117,0.1,0.094,9.889,2206.62
0.117,0.1,0.1,10.111,2276.82
0.133,0.05,0.05,7.198,1545.1800000000003
0.133,0.05,0.056,7.421,1615.38
0.133,0.05,0.061,7.643,1673.88
0.133,0.05,0.067,7.865,1744.08
0.133,0.05,0.072,8.087,1802.58
0.133,0.05,0.078,8.31,1872.7799999999997
0.133,0.05,0.083,8.532,1931.2800000000002
0.133,0.05,0.089,8.754,2001.48
0.133,0.05,0.094,8.976,2059.98
0.133,0.05,0.1,9.198,2130.1800000000003
0.133,0.056,0.05,7.353,1573.2600000000002
0.133,0.056,0.056,7.575,1643.46
0.133,0.056,0.061,7.797,1701.96
0.133,0.056,0.067,8.019,1772.1599999999999
0.133,0.056,0.072,8.242,1830.6599999999999
0.133,0.056,0.078,8.464,1900.86
0.133,0.056,0.083,8.686,1959.3600000000001
0.133,0.056,0.089,8.908,2029.56
0.133,0.056,0.094,9.131,2088.06
0.133,0.056,0.1,9.353,2158.26
0.133,0.061,0.05,7.507,1596.6599999999999
0.133,0.061,0.056,7.729,1666.8600000000001
0.133,0.061,0.061,7.951,1725.3600000000001
0.133,0.061,0.067,8.174,1795.5600000000002
0.133,0.061,0.072,8.396,1854.06
0.133,0.061,0.078,8.618,1924.2600000000002
0.133,0.061,0.083,8.84,1982.7600000000002
0.133,0.061,0.089,9.063,2052.96
0.133,0.061,0.094,9.285,2111.46
0.133,0.061,0.1,9.507,2181.66
0.133,0.067,0.05,7.661,1624.7400000000002
0.133,0.067,0.056,7.884,1694.9400000000003
0.133,0.067,0.061,8.106,1753.4400000000003
0.133,0.067,0.067,8.328,1823.64
0.133,0.067,0.072,8.55,1882.14
0.133,0.067,0.078,8.772,1952.3400000000001
0.133,0.067,0.083,8.995,2010.8400000000001
0.133,0.067,0.089,9.217,2081.04
0.133,0.067,0.094,9.439,2139.54
0.133,0.067,0.1,9.661,2209.7400000000002
0.133,0.072,0.05,7.816,1648.1399999999999
0.133,0.072,0.056,8.038,1718.3400000000001
0.133,0.072,0.061,8.26,1776.8400000000001
0.133,0.072,0.067,8.482,1847.04
0.133,0.072,0.072,8.705,1905.54
0.133,0.072,0.078,8.927,1975.7399999999998
0.133,0.072,0.083,9.149,2034.2399999999998
0.133,0.072,0.089,9.371,2104.4399999999996
0.133,0.072,0.094,9.593,2162.9399999999996
0.133,0.072,0.1,9.816,2233.14
0.133,0.078,0.05,7.97,1676.2200000000003
0.133,0.078,0.056,8.192,1746.42
0.133,0.078,0.061,8.414,1804.92
0.133,0.078,0.067,8.637,1875.12
0.133,0.078,0.072,8.859,1933.62
0.133,0.078,0.078,9.081,2003.8199999999997
0.133,0.078,0.083,9.303,2062.32
0.133,0.078,0.089,9.526,2132.52
0.133,0.078,0.094,9.748,2191.02
0.133,0.078,0.1,9.97,2261.2200000000003
0.133,0.083,0.05,8.124,1699.62
0.133,0.083,0.056,8.347,1769.8200000000002
0.133,0.083,0.061,8.569,1828.3200000000002
0.133,0.083,0.067,8.791,1898.5200000000002
0.133,0.083,0.072,9.013,1957.02
0.133,0.083,0.078,9.235,2027.2200000000003
0.133,0.083,0.083,9.458,2085.7200000000003
0.133,0.083,0.089,9.68,2155.92
0.133,0.083,0.094,9.902,2214.42
0.133,0.083,0.1,10.124,2284.62
0.133,0.089,0.05,8.279,1727.6999999999998
0.133,0.089,0.056,8.501,1797.9
0.133,0.089,0.061,8.723,1856.4
0.133,0.089,0.067,8.945,1926.6000000000001
0.133,0.089,0.072,9.168,1985.1
0.133,0.089,0.078,9.39,2055.3
0.133,0.089,0.083,9.612,2113.8
0.133,0.089,0.089,9.834,2184.0
0.133,0.089,0.094,10.056,2242.5
0.133,0.089,0.1,10.279,2312.7
0.133,0.094,0.05,8.433,1751.1
0.133,0.094,0.056,8.655,1821.3000000000002
0.133,0.094,0.061,8.877,1879.8000000000002
0.133,0.094,0.067,9.1,1950.0
0.133,0.094,0.072,9.322,2008.5
0.133,0.094,0.078,9.544,2078.7
0.133,0.094,0.083,9.766,2137.2
0.133,0.094,0.089,9.989,2207.3999999999996
0.133,0.094,0.094,10.211,2265.8999999999996
0.133,0.094,0.1,10.433,2336.1
0.133,0.1,0.05,8.587,1779.1800000000003
0.133,0.1,0.056,8.81,1849.38
0.133,0.1,0.061,9.032,1907.88
0.133,0.1,0.067,9.254,1978.08
0.133,0.1,0.072,9.476,2036.58
0.133,0.1,0.078,9.698,2106.7799999999997
0.133,0.1,0.083,9.921,2165.28
0.133,0.1,0.089,10.143,2235.48
0.133,0.1,0.094,10.365,2293.98
0.133,0.1,0.1,10.587,2364.1800000000003
0.15,0.05,0.05,7.675,1638.0
0.15,0.05,0.056,7.897,1708.1999999999998
0.15,0.05,0.061,8.119,1766.6999999999998
0.15,0.05,0.067,8.341,1836.9
0.15,0.05,0.072,8.563,1895.3999999999999
0.15,0.05,0.078,8.786,1965.6
0.15,0.05,0.083,9.008,2024.1000000000001
0.15,0.05,0.089,9.23,2094.3
0.15,0.05,0.094,9.452,2152.8
0.15,0.05,0.1,9.675,2223.0
0.15,0.056,0.05,7.829,1666.08
0.15,0.056,0.056,8.051,1736.2799999999997
0.15,0.056,0.061,8.273,1794.7799999999997
0.15,0.056,0.067,8.496,1864.98
0.15,0.056,0.072,8.718,1923.4799999999998
0.15,0.056,0.078,8.94,1993.6799999999998
0.15,0.056,0.083,9.162,2052.1800000000003
0.15,0.056,0.089,9.384,2122.38
0.15,0.056,0.094,9.607,2180.88
0.15,0.056,0.1,9.829,2251.08
0.15,0.061,0.05,7.983,1689.48
0.15,0.061,0.056,8.205,1759.6800000000003
0.15,0.061,0.061,8.428,1818.1800000000003
0.15,0.061,0.067,8.65,1888.38
0.15,0.061,0.072,8.872,1946.88
0.15,0.061,0.078,9.094,2017.08
0.15,0.061,0.083,9.317,2075.58
0.15,0.061,0.089,9.539,2145.7799999999997
0.15,0.061,0.094,9.761,2204.2799999999997
0.15,0.061,0.1,9.983,2274.48
0.15,0.067,0.05,8.138,1717.56
0.15,0.067,0.056,8.36,1787.7600000000002
0.15,0.067,0.061,8.582,1846.2600000000002
0.15,0.067,0.067,8.804,1916.46
0.15,0.067,0.072,9.026,1974.96
0.15,0.067,0.078,9.249,2045.1599999999999
0.15,0.067,0.083,9.471,2103.66
0.15,0.067,0.089,9.693,2173.8599999999997
0.15,0.067,0.094,9.915,2232.3599999999997
0.15,0.067,0.1,10.138,2302.56
0.15,0.072,0.05,8.292,1740.96
0.15,0.072,0.056,8.514,1811.1599999999999
0.15,0.072,0.061,8.736,1869.6599999999999
0.15,0.072,0.067,8.959,1939.8600000000001
0.15,0.072,0.072,9.181,1998.36
0.15,0.072,0.078,9.403,2068.56
0.15,0.072,0.083,9.625,2127.0600000000004
0.15,0.072,0.089,9.847,2197.26
0.15,0.072,0.094,10.07,2255.76
0.15,0.072,0.1,10.292,2325.96
0.15,0.078,0.05,8.446,1769.04
0.15,0.078,0.056,8.668,1839.2399999999998
0.15,0.078,0.061,8.891,1897.7399999999998
0.15,0.078,0.067,9.113,1967.94
0.15,0.078,0.072,9.335,2026.4399999999998
0.15,0.078,0.078,9.557,2096.64
0.15,0.078,0.083,9.78,2155.1400000000003
0.15,0.078,0.089,10.002,2225.34
0.15,0.078,0.094,10.224,2283.84
0.15,0.078,0.1,10.446,2354.04
0.15,0.083,0.05,8.601,1792.44
0.15,0.083,0.056,8.823,1862.64
0.15,0.083,0.061,9.045,1921.14
0.15,0.083,0.067,9.267,1991.3400000000001
0.15,0.083,0.072,9.489,2049.84
0.15,0.083,0.078,9.712,2120.04
0.15,0.083,0.083,9.934,2178.54
0.15,0.083,0.089,10.156,2248.74
0.15,0.083,0.094,10.378,2307.24
0.15,0.083,0.1,10.601,2377.44
0.15,0.089,0.05,8.755,1820.52
0.15,0.089,0.056,8.977,1890.7200000000003
0.15,0.089,0.061,9.199,1949.2200000000003
0.15,0.089,0.067,9.422,2019.42
0.15,0.089,0.072,9.644,2077.92
0.15,0.089,0.078,9.866,2148.12
0.15,0.089,0.083,10.088,2206.62
0.15,0.089,0.089,10.31,2276.8199999999997
0.15,0.089,0.094,10.533,2335.3199999999997
0.15,0.089,0.1,10.755,2405.52
0.15,0.094,0.05,8.909,1843.92
0.15,0.094,0.056,9.131,1914.12
0.15,0.094,0.061,9.354,1972.62
0.15,0.094,0.067,9.576,2042.8200000000002
0.15,0.094,0.072,9.798,2101.3199999999997
0.15,0.094,0.078,10.02,2171.52
0.15,0.094,0.083,10.243,2230.0200000000004
0.15,0.094,0.089,10.465,2300.2200000000003
0.15,0.094,0.094,10.687,2358.7200000000003
0.15,0.094,0.1,10.909,2428.92
0.15,0.1,0.05,9.063,1872.0
0.15,0.1,0.056,9.286,1942.1999999999998
0.15,0.1,0.061,9.508,2000.6999999999998
0.15,0.1,0.067,9.73,2070.9
0.15,0.1,0.072,9.952,2129.3999999999996
0.15,0.1,0.078,10.175,2199.6
0.15,0.1,0.083,10.397,2258.1000000000004
0.15,0.1,0.089,10.619,2328.3
0.15,0.1,0.094,10.841,2386.8
0.15,0.1,0.1,11.063,2457.0
0.167,0.05,0.05,8.151,1730.8200000000002
0.167,0.05,0.056,8.373,1801.0200000000002
0.167,0.05,0.061,8.595,1859.5200000000002
0.167,0.05,0.067,8.817,1929.7200000000003
0.167,0.05,0.072,9.04,1988.2200000000003
0.167,0.05,0.078,9.262,2058.42
0.167,0.05,0.083,9.484,2116.92
0.167,0.05,0.089,9.706,2187.12
0.167,0.05,0.094,9.929,2245.62
0.167,0.05,0.1,10.151,2315.82
0.167,0.056,0.05,8.305,1758.9
0.167,0.056,0.056,8.527,1829.1000000000001
0.167,0.056,0.061,8.75,1887.6000000000001
0.167,0.056,0.067,8.972,1957.8000000000002
0.167,0.056,0.072,9.194,2016.3000000000002
0.167,0.056,0.078,9.416,2086.5
0.167,0.056,0.083,9.638,2145.0
0.167,0.056,0.089,9.861,2215.2
0.167,0.056,0.094,10.083,2273.7
0.167,0.056,0.1,10.305,2343.9
0.167,0.061,0.05,8.459,1782.3000000000002
0.167,0.061,0.056,8.682,1852.5
0.167,0.061,0.061,8.904,1911.0
0.167,0.061,0.067,9.126,1981.2000000000003
0.167,0.061,0.072,9.348,2039.6999999999998
0.167,0.061,0.078,9.571,2109.9
0.167,0.061,0.083,9.793,2168.4000000000005
0.167,0.061,0.089,10.015,2238.6000000000004
0.167,0.061,0.094,10.237,2297.1000000000004
0.167,0.061,0.1,10.459,2367.3
0.167,0.067,0.05,8.614,1810.38
0.167,0.067,0.056,8.836,1880.58
0.167,0.067,0.061,9.058,1939.08
0.167,0.067,0.067,9.28,2009.2800000000002
0.167,0.067,0.072,9.503,2067.7799999999997
0.167,0.067,0.078,9.725,2137.98
0.167,0.067,0.083,9.947,2196.4800000000005
0.167,0.067,0.089,10.169,2266.6800000000003
0.167,0.067,0.094,10.392,2325.1800000000003
0.167,0.067,0.1,10.614,2395.38
0.167,0.072,0.05,8.768,1833.7800000000002
0.167,0.072,0.056,8.99,1903.9800000000002
0.167,0.072,0.061,9.213,1962.4800000000002
0.167,0.072,0.067,9.435,2032.6800000000003
0.167,0.072,0.072,9.657,2091.1800000000003
0.167,0.072,0.078,9.879,2161.38
0.167,0.072,0.083,10.101,2219.88
0.167,0.072,0.089,10.324,2290.08
0.167,0.072,0.094,10.546,2348.58
0.167,0.072,0.1,10.768,2418.78
0.167,0.078,0.05,8.922,1861.8600000000001
0.167,0.078,0.056,9.145,1932.0600000000002
0.167,0.078,0.061,9.367,1990.5600000000002
0.167,0.078,0.067,9.589,2060.76
0.167,0.078,0.072,9.811,2119.26
0.167,0.078,0.078,10.034,2189.46
0.167,0.078,0.083,10.256,2247.96
0.167,0.078,0.089,10.478,2318.16
0.167,0.078,0.094,10.7,2376.66
0.167,0.078,0.1,10.922,2446.86
0.167,0.083,0.05,9.077,1885.2600000000002
0.167,0.083,0.056,9.299,1955.46
0.167,0.083,0.061,9.521,2013.96
0.167,0.083,0.067,9.743,2084.1600000000003
0.167,0.083,0.072,9.966,2142.66
0.167,0.083,0.078,10.188,2212.86
0.167,0.083,0.083,10.41,2271.3600000000006
0.167,0.083,0.089,10.632,2341.5600000000004
0.167,0.083,0.094,10.854,2400.0600000000004
0.167,0.083,0.1,11.077,2470.26
0.167,0.089,0.05,9.231,1913.3400000000001
0.167,0.089,0.056,9.453,1983.54
0.167,0.089,0.061,9.675,2042.04
0.167,0.089,0.067,9.898,2112.2400000000002
0.167,0.089,0.072,10.12,2170.74
0.167,0.089,0.078,10.342,2240.94
0.167,0.089,0.083,10.564,2299.4400000000005
0.167,0.089,0.089,10.787,2369.6400000000003
0.167,0.089,0.094,11.009,2428.1400000000003
0.167,0.089,0.1,11.231,2498.34
0.167,0.094,0.05,9.385,1936.7400000000002
0.167,0.094,0.056,9.608,2006.9400000000003
0.167,0.094,0.061,9.83,2065.4400000000005
0.167,0.094,0.067,10.052,2135.6400000000003
0.167,0.094,0.072,10.274,2194.1400000000003
0.167,0.094,0.078,10.496,2264.34
0.167,0.094,0.083,10.719,2322.84
0.167,0.094,0.089,10.941,2393.04
0.167,0.094,0.094,11.163,2451.54
0.167,0.094,0.1,11.385,2521.74
0.167,0.1,0.05,9.54,1964.8200000000002
0.167,0.1,0.056,9.762,2035.0200000000002
0.167,0.1,0.061,9.984,2093.5200000000004
0.167,0.1,0.067,10.206,2163.7200000000003
0.167,0.1,0.072,10.429,2222.2200000000003
0.167,0.1,0.078,10.651,2292.42
0.167,0.1,0.083,10.873,2350.92
0.167,0.1,0.089,11.095,2421.12
0.167,0.1,0.094,11.317,2479.62
0.167,0.1,0.1,11.54,2549.8199999999997
0.183,0.05,0.05,8.627,1818.1800000000003
0.183,0.05,0.056,8.849,1888.38
0.183,0.05,0.061,9.071,1946.88
0.183,0.05,0.067,9.294,2017.08
0.183,0.05,0.072,9.516,2075.58
0.183,0.05,0.078,9.738,2145.7799999999997
0.183,0.05,0.083,9.96,2204.28
0.183,0.05,0.089,10.183,2274.48
0.183,0.05,0.094,10.405,2332.98
0.183,0.05,0.1,10.627,2403.1800000000003
0.183,0.056,0.05,8.781,1846.2600000000002
0.183,0.056,0.056,9.004,1916.46
0.183,0.056,0.061,9.226,1974.96
0.183,0.056,0.067,9.448,2045.16
0.183,0.056,0.072,9.67,2103.66
0.183,0.056,0.078,9.892,2173.86
0.183,0.056,0.083,10.115,2232.3600000000006
0.183,0.056,0.089,10.337,2302.5600000000004
0.183,0.056,0.094,10.559,2361.0600000000004
0.183,0.056,0.1,10.781,2431.26
0.183,0.061,0.05,8.936,1869.6599999999999
0.183,0.061,0.056,9.158,1939.86
0.183,0.061,0.061,9.38,1998.36
0.183,0.061,0.067,9.602,2068.56
0.183,0.061,0.072,9.825,2127.0599999999995
0.183,0.061,0.078,10.047,2197.2599999999998
0.183,0.061,0.083,10.269,2255.76
0.183,0.061,0.089,10.491,2325.96
0.183,0.061,0.094,10.713,2384.46
0.183,0.061,0.1,10.936,2454.66
0.183,0.067,0.05,9.09,1897.7400000000002
0.183,0.067,0.056,9.312,1967.9400000000003
0.183,0.067,0.061,9.534,2026.4400000000003
0.183,0.067,0.067,9.757,2096.6400000000003
0.183,0.067,0.072,9.979,2155.1400000000003
0.183,0.067,0.078,10.201,2225.34
0.183,0.067,0.083,10.423,2283.84
0.183,0.067,0.089,10.646,2354.04
0.183,0.067,0.094,10.868,2412.54
0.183,0.067,0.1,11.09,2482.7400000000002
0.183,0.072,0.05,9.244,1921.1399999999999
0.183,0.072,0.056,9.466,1991.3400000000001
0.183,0.072,0.061,9.689,2049.84
0.183,0.072,0.067,9.911,2120.04
0.183,0.072,0.072,10.133,2178.54
0.183,0.072,0.078,10.355,2248.74
0.183,0.072,0.083,10.578,2307.24
0.183,0.072,0.089,10.8,2377.4399999999996
0.183,0.072,0.094,11.022,2435.9399999999996
0.183,0.072,0.1,11.244,2506.1399999999994
0.183,0.078,0.05,9.399,1949.2200000000003
0.183,0.078,0.056,9.621,2019.42
0.183,0.078,0.061,9.843,2077.92
0.183,0.078,0.067,10.065,2148.1200000000003
0.183,0.078,0.072,10.287,2206.62
0.183,0.078,0.078,10.51,2276.82
0.183,0.078,0.083,10.732,2335.32
0.183,0.078,0.089,10.954,2405.5200000000004
0.183,0.078,0.094,11.176,2464.0200000000004
0.183,0.078,0.1,11.399,2534.2200000000003
0.183,0.083,0.05,9.553,1972.62
0.183,0.083,0.056,9.775,2042.8199999999997
0.183,0.083,0.061,9.997,2101.3199999999997
0.183,0.083,0.067,10.22,2171.52
0.183,0.083,0.072,10.442,2230.0199999999995
0.183,0.083,0.078,10.664,2300.22
0.183,0.083,0.083,10.886,2358.7200000000003
0.183,0.083,0.089,11.108,2428.92
0.183,0.083,0.094,11.331,2487.42
0.183,0.083,0.1,11.553,2557.62
0.183,0.089,0.05,9.707,2000.6999999999998
0.183,0.089,0.056,9.929,2070.8999999999996
0.183,0.089,0.061,10.152,2129.3999999999996
0.183,0.089,0.067,10.374,2199.6
0.183,0.089,0.072,10.596,2258.0999999999995
0.183,0.089,0.078,10.818,2328.2999999999997
0.183,0.089,0.083,11.041,2386.8
0.183,0.089,0.089,11.263,2457.0
0.183,0.089,0.094,11.485,2515.5
0.183,0.089,0.1,11.707,2585.7
0.183,0.094,0.05,9.862,2024.1
0.183,0.094,0.056,10.084,2094.3
0.183,0.094,0.061,10.306,2152.8
0.183,0.094,0.067,10.528,2223.0
0.183,0.094,0.072,10.75,2281.5
0.183,0.094,0.078,10.973,2351.7
0.183,0.094,0.083,11.195,2410.2
0.183,0.094,0.089,11.417,2480.3999999999996
0.183,0.094,0.094,11.639,2538.8999999999996
0.183,0.094,0.1,11.862,2609.1000000000004
0.183,0.1,0.05,10.016,2052.1800000000003
0.183,0.1,0.056,10.238,2122.38
0.183,0.1,0.061,10.46,2180.88
0.183,0.1,0.067,10.683,2251.0800000000004
0.183,0.1,0.072,10.905,2309.58
0.183,0.1,0.078,11.127,2379.78
0.183,0.1,0.083,11.349,2438.28
0.183,0.1,0.089,11.571,2508.4800000000005
0.183,0.1,0.094,11.794,2566.9800000000005
0.183,0.1,0.1,12.016,2637.1800000000003
0.2,0.05,0.05,9.103,1911.0
0.2,0.05,0.056,9.325,1981.1999999999998
0.2,0.05,0.061,9.548,2039.6999999999998
0.2,0.05,0.067,9.77,2109.9
0.2,0.05,0.072,9.992,2168.3999999999996
0.2,0.05,0.078,10.214,2238.6
0.2,0.05,0.083,10.437,2297.1000000000004
0.2,0.05,0.089,10.659,2367.3
0.2,0.05,0.094,10.881,2425.8
0.2,0.05,0.1,11.103,2496.0
0.2,0.056,0.05,9.257,1939.08
0.2,0.056,0.056,9.48,2009.2799999999997
0.2,0.056,0.061,9.702,2067.7799999999997
0.2,0.056,0.067,9.924,2137.98
0.2,0.056,0.072,10.146,2196.4799999999996
0.2,0.056,0.078,10.369,2266.68
0.2,0.056,0.083,10.591,2325.1800000000003
0.2,0.056,0.089,10.813,2395.38
0.2,0.056,0.094,11.035,2453.88
0.2,0.056,0.1,11.257,2524.08
0.2,0.061,0.05,9.412,1962.48
0.2,0.061,0.056,9.634,2032.6800000000003
0.2,0.061,0.061,9.856,2091.1800000000003
0.2,0.061,0.067,10.078,2161.38
0.2,0.061,0.072,10.301,2219.88
0.2,0.061,0.078,10.523,2290.08
0.2,0.061,0.083,10.745,2348.58
0.2,0.061,0.089,10.967,2418.7799999999997
0.2,0.061,0.094,11.19,2477.2799999999997
0.2,0.061,0.1,11.412,2547.4799999999996
0.2,0.067,0.05,9.566,1990.56
0.2,0.067,0.056,9.788,2060.76
0.2,0.067,0.061,10.011,2119.26
0.2,0.067,0.067,10.233,2189.46
0.2,0.067,0.072,10.455,2247.96
0.2,0.067,0.078,10.677,2318.16
0.2,0.067,0.083,10.899,2376.66
0.2,0.067,0.089,11.122,2446.8599999999997
0.2,0.067,0.094,11.344,2505.3599999999997
0.2,0.067,0.1,11.566,2575.5599999999995
0.2,0.072,0.05,9.72,2013.96
0.2,0.072,0.056,9.943,2084.16
0.2,0.072,0.061,10.165,2142.66
0.2,0.072,0.067,10.387,2212.86
0.2,0.072,0.072,10.609,2271.3599999999997
0.2,0.072,0.078,10.832,2341.56
0.2,0.072,0.083,11.054,2400.0600000000004
0.2,0.072,0.089,11.276,2470.26
0.2,0.072,0.094,11.498,2528.76
0.2,0.072,0.1,11.72,2598.96
0.2,0.078,0.05,9.875,2042.04
0.2,0.078,0.056,10.097,2112.24
0.2,0.078,0.061,10.319,2170.74
0.2,0.078,0.067,10.541,2240.94
0.2,0.078,0.072,10.764,2299.4399999999996
0.2,0.078,0.078,10.986,2369.64
0.2,0.078,0.083,11.208,2428.1400000000003
0.2,0.078,0.089,11.43,2498.34
0.2,0.078,0.094,11.653,2556.84
0.2,0.078,0.1,11.875,2627.04
0.2,0.083,0.05,10.029,2065.44
0.2,0.083,0.056,10.251,2135.6400000000003
0.2,0.083,0.061,10.474,2194.1400000000003
0.2,0.083,0.067,10.696,2264.34
0.2,0.083,0.072,10.918,2322.84
0.2,0.083,0.078,11.14,2393.04
0.2,0.083,0.083,11.362,2451.54
0.2,0.083,0.089,11.585,2521.74
0.2,0.083,0.094,11.807,2580.24
0.2,0.083,0.1,12.029,2650.4400000000005
0.2,0.089,0.05,10.183,2093.52
0.2,0.089,0.056,10.406,2163.7200000000003
0.2,0.089,0.061,10.628,2222.2200000000003
0.2,0.089,0.067,10.85,2292.42
0.2,0.089,0.072,11.072,2350.92
0.2,0.089,0.078,11.295,2421.12
0.2,0.089,0.083,11.517,2479.62
0.2,0.089,0.089,11.739,2549.8199999999997
0.2,0.089,0.094,11.961,2608.3199999999997
0.2,0.089,0.1,12.183,2678.5200000000004
0.2,0.094,0.05,10.338,2116.92
0.2,0.094,0.056,10.56,2187.12
0.2,0.094,0.061,10.782,2245.62
0.2,0.094,0.067,11.004,2315.82
0.2,0.094,0.072,11.227,2374.3199999999997
0.2,0.094,0.078,11.449,2444.52
0.2,0.094,0.083,11.671,2503.0200000000004
0.2,0.094,0.089,11.893,2573.2200000000003
0.2,0.094,0.094,12.116,2631.7200000000003
0.2,0.094,0.1,12.338,2701.92
0.2,0.1,0.05,10.492,2145.0
0.2,0.1,0.056,10.714,2215.2
0.2,0.1,0.061,10.937,2273.7
0.2,0.1,0.067,11.159,2343.9
0.2,0.1,0.072,11.381,2402.3999999999996
0.2,0.1,0.078,11.603,2472.6
0.2,0.1,0.083,11.825,2531.1000000000004
0.2,0.1,0.089,12.048,2601.3
0.2,0.1,0.094,12.27,2659.8
0.2,0.1,0.1,12.492,2730.0
